,mcontrol
0,0
1,1
2,1
3,0
4,1
5,1
6,1
7,0
8,1
9,1
10,1
11,0
12,0
13,1
14,1
15,0
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,0
24,0
25,1
26,1
27,0
28,1
29,1
30,1
31,0
32,1
33,1
34,1
35,0
36,0
37,1
38,1
39,1
40,1
41,1
42,0
43,1
44,1
45,1
46,0
47,0
48,1
49,1
50,0
51,1
52,1
53,1
54,0
55,1
56,1
57,1
58,0
59,0
60,1
61,1
62,0
63,1
64,1
65,1
66,0
67,1
68,1
69,1
70,0
71,0
72,1
73,1
74,0
75,1
76,1
77,1
78,0
79,1
80,1
81,1
82,0
83,0
84,1
85,1
86,0
87,1
88,1
89,1
90,0
91,1
92,1
93,0
94,0
95,1
96,1
97,0
98,1
99,1
100,1
101,0
102,1
103,1
104,0
105,0
106,1
107,1
108,0
109,1
110,1
111,1
112,0
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,0
133,1
134,1
135,0
136,1
137,1
138,1
139,0
140,1
141,1
142,1
143,0
144,0
145,1
146,1
147,0
148,1
149,1
150,1
151,0
152,1
153,1
154,1
155,0
156,0
157,1
158,1
159,0
160,1
161,1
162,1
163,0
164,1
165,1
166,1
167,0
168,0
169,1
170,1
171,0
172,1
173,1
174,1
175,0
176,1
177,1
178,1
179,0
180,0
181,1
182,1
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,0
191,0
192,1
193,1
194,0
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,0
203,0
204,1
205,1
206,0
207,1
208,1
209,1
210,0
211,1
212,1
213,0
214,0
215,1
216,1
217,0
218,1
219,1
220,1
221,0
222,1
223,1
224,0
225,0
226,1
227,1
228,0
229,1
230,1
231,1
232,0
233,1
234,1
235,1
236,0
237,0
238,1
239,1
240,0
241,1
242,1
243,1
244,0
245,1
246,1
247,1
248,0
249,0
250,1
251,1
252,0
253,1
254,1
255,1
256,0
257,1
258,1
259,0
260,0
261,1
262,1
263,0
264,1
265,1
266,1
267,0
268,1
269,1
270,1
271,0
272,0
273,1
274,1
275,0
276,1
277,1
278,1
279,0
280,1
281,1
282,1
283,0
