,goal
0,0
1,0
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,1
30,1
31,1
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,1
41,1
42,1
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,1
76,1
77,1
78,1
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,1
88,1
89,1
90,1
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,1
115,1
116,0
117,0
118,0
119,0
120,1
121,1
122,1
123,1
124,0
125,0
126,0
127,0
128,1
129,1
130,1
131,1
132,0
133,0
134,0
135,0
136,0
137,1
138,1
139,1
140,1
141,1
142,1
143,0
144,0
145,0
146,0
147,0
148,0
149,1
150,1
151,1
152,1
153,1
154,1
155,0
156,0
157,0
158,0
159,0
160,0
161,1
162,1
163,1
164,1
165,1
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,1
174,1
175,1
176,1
177,1
178,1
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,1
187,1
188,1
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,1
198,1
199,1
200,1
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,0
227,0
228,0
229,0
230,0
231,0
232,1
233,1
234,1
235,1
236,1
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,1
245,1
246,1
247,1
248,1
249,1
250,0
251,0
252,0
253,0
254,0
255,0
256,1
257,1
258,1
259,1
260,1
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,1
269,1
270,1
271,1
272,1
273,1
274,0
275,0
276,0
277,0
278,0
279,0
280,1
281,1
282,1
283,1
284,1
285,1
286,0
287,0
288,0
