,relation
0,3
1,3
2,5
3,3
4,5
5,4
6,5
7,1
8,4
9,5
10,3
11,3
12,2
13,6
14,3
15,3
16,6
17,5
18,3
19,1
20,5
21,4
22,3
23,4
24,2
25,6
26,4
27,3
28,4
29,6
30,4
31,1
32,4
33,3
34,3
35,3
36,6
37,5
38,3
39,3
40,2
41,3
42,3
43,2
44,3
45,5
46,3
47,6
48,4
49,4
50,2
51,3
52,4
53,1
54,5
55,3
56,3
57,1
58,1
59,1
60,3
61,5
62,1
63,4
64,4
65,4
66,2
67,4
68,3
69,4
70,1
71,6
72,4
73,3
74,2
75,6
76,3
77,5
78,2
79,6
80,3
81,3
82,2
83,6
84,6
85,1
86,2
87,5
88,4
89,5
90,2
91,5
92,3
93,4
94,2
95,1
96,3
97,4
98,1
99,1
100,3
101,2
102,1
103,3
104,3
105,3
106,6
107,3
108,2
109,3
110,2
111,5
112,4
113,3
114,2
115,4
116,4
117,4
118,2
119,3
120,3
121,3
122,5
123,5
124,4
125,2
126,3
127,3
128,3
129,1
130,3
131,3
132,3
133,2
134,1
135,3
136,3
137,1
138,2
139,6
140,2
141,1
142,3
143,5
144,4
145,1
146,1
147,3
148,5
149,2
150,5
151,5
152,6
153,1
154,4
155,4
156,5
157,1
158,3
159,1
160,4
161,3
162,4
163,5
164,3
165,1
166,6
167,3
168,2
169,3
170,4
171,5
172,3
173,1
174,3
175,1
176,4
177,1
178,5
179,3
180,3
181,3
182,3
183,4
184,5
185,2
186,3
187,3
188,1
189,4
190,5
191,5
192,3
193,3
194,3
195,5
196,2
197,3
198,4
199,5
200,1
201,4
202,4
203,5
204,2
205,3
206,6
207,5
208,3
209,5
210,4
211,5
212,1
213,4
214,3
215,5
216,3
217,5
218,4
219,5
220,5
221,4
222,5
223,5
224,2
225,5
226,5
227,3
228,5
229,4
230,2
231,3
232,3
233,3
234,3
235,4
236,4
237,4
238,3
239,4
240,3
241,4
242,5
243,3
244,5
245,2
246,3
247,5
248,4
249,5
250,3
251,2
252,3
253,2
254,4
255,4
256,2
257,2
258,4
259,5
260,1
261,4
262,5
263,4
264,2
265,1
266,3
267,4
268,4
269,4
270,3
271,3
272,1
273,3
274,5
275,3
276,2
277,2
278,6
279,4
280,2
281,4
282,3
283,2
284,1
285,6
286,3
287,2
288,2
