,goal
0,0
1,0
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,0
22,0
23,0
24,0
25,0
26,1
27,1
28,1
29,1
30,1
31,1
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,1
41,1
42,1
43,0
44,0
45,0
46,0
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,1
63,1
64,1
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,1
86,1
87,1
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,1
96,1
97,1
98,1
99,1
100,1
101,0
102,0
103,0
104,0
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,0
113,0
114,0
115,0
116,1
117,1
118,1
119,1
120,0
121,0
122,0
123,0
124,1
125,1
126,1
127,1
128,0
129,0
130,0
131,0
132,0
133,1
134,1
135,1
136,1
137,1
138,1
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,1
147,1
148,1
149,1
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,1
160,1
161,1
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,1
170,1
171,1
172,1
173,1
174,1
175,0
176,0
177,0
178,0
179,0
180,0
181,1
182,1
183,1
184,1
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,1
193,1
194,1
195,1
196,1
197,1
198,0
199,0
200,0
201,0
202,0
203,0
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,0
212,0
213,0
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,0
222,0
223,0
224,0
225,0
226,1
227,1
228,1
229,1
230,1
231,1
232,0
233,0
234,0
235,0
236,0
237,0
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,0
258,0
259,0
260,0
261,1
262,1
263,1
264,1
265,1
266,1
267,0
268,0
269,0
270,0
271,0
272,0
273,1
274,1
275,1
276,1
277,1
278,1
279,0
280,0
281,0
