,team
0,Rob
1,Rob
2,Rob
3,Eng
4,Eng
5,Eng
6,Geo
7,Geo
8,Geo
9,HF
10,HF
11,HF
12,Rob
13,Rob
14,Rob
15,Eng
16,Eng
17,Eng
18,Geo
19,Geo
20,Geo
21,HF
22,HF
23,Rob
24,Rob
25,Rob
26,Eng
27,Eng
28,Eng
29,Geo
30,Geo
31,Geo
32,HF
33,HF
34,HF
35,Rob
36,Rob
37,Rob
38,Eng
39,Eng
40,Geo
41,Geo
42,Geo
43,HF
44,HF
45,Rob
46,Rob
47,Rob
48,Eng
49,Eng
50,Eng
51,Geo
52,Geo
53,Geo
54,HF
55,HF
56,HF
57,Rob
58,Rob
59,Rob
60,Eng
61,Eng
62,Eng
63,Geo
64,Geo
65,Geo
66,HF
67,HF
68,HF
69,Rob
70,Rob
71,Rob
72,Eng
73,Eng
74,Eng
75,Geo
76,Geo
77,Geo
78,HF
79,HF
80,HF
81,Rob
82,Rob
83,Rob
84,Eng
85,Eng
86,Eng
87,Geo
88,Geo
89,Geo
90,HF
91,HF
92,Rob
93,Rob
94,Rob
95,Eng
96,Eng
97,Geo
98,Geo
99,Geo
100,Geo
101,HF
102,HF
103,Rob
104,Rob
105,Rob
106,Eng
107,Eng
108,Eng
109,Geo
110,Geo
111,Geo
112,HF
113,HF
114,Rob
115,Rob
116,Eng
117,Eng
118,Geo
119,Geo
120,HF
121,HF
122,Rob
123,Rob
124,Eng
125,Eng
126,Geo
127,Geo
128,HF
129,HF
130,Rob
131,Rob
132,Rob
133,Eng
134,Eng
135,Eng
136,Geo
137,Geo
138,Geo
139,HF
140,HF
141,HF
142,Rob
143,Rob
144,Rob
145,Eng
146,Eng
147,Eng
148,Geo
149,Geo
150,Geo
151,HF
152,HF
153,HF
154,Rob
155,Rob
156,Rob
157,Eng
158,Eng
159,Eng
160,Geo
161,Geo
162,Geo
163,HF
164,HF
165,HF
166,Rob
167,Rob
168,Rob
169,Eng
170,Eng
171,Eng
172,Geo
173,Geo
174,Geo
175,HF
176,HF
177,HF
178,Rob
179,Rob
180,Rob
181,Eng
182,Eng
183,Geo
184,Geo
185,Geo
186,HF
187,HF
188,HF
189,Rob
190,Rob
191,Rob
192,Eng
193,Eng
194,Eng
195,Geo
196,Geo
197,Geo
198,HF
199,HF
200,HF
201,Rob
202,Rob
203,Rob
204,Eng
205,Eng
206,Eng
207,Geo
208,Geo
209,Geo
210,HF
211,HF
212,Rob
213,Rob
214,Rob
215,Eng
216,Eng
217,Eng
218,Geo
219,Geo
220,Geo
221,HF
222,HF
223,Rob
224,Rob
225,Rob
226,Eng
227,Eng
228,Eng
229,Geo
230,Geo
231,Geo
232,HF
233,HF
234,HF
235,Rob
236,Rob
237,Rob
238,Eng
239,Eng
240,Eng
241,Geo
242,Geo
243,Geo
244,HF
245,HF
246,HF
247,Rob
248,Rob
249,Rob
250,Eng
251,Eng
252,Eng
253,Geo
254,Geo
255,Geo
256,HF
257,HF
258,Rob
259,Rob
260,Rob
261,Eng
262,Eng
263,Eng
264,Geo
265,Geo
266,Geo
267,HF
268,HF
269,HF
270,Rob
271,Rob
272,Rob
273,Eng
274,Eng
275,Eng
276,Geo
277,Geo
278,Geo
279,HF
280,HF
281,HF
