,mcontrol
0,0
1,1
2,1
3,0
4,1
5,1
6,1
7,0
8,1
9,1
10,1
11,0
12,0
13,1
14,1
15,0
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,0
24,1
25,1
26,0
27,1
28,1
29,1
30,0
31,1
32,1
33,1
34,0
35,0
36,1
37,1
38,1
39,1
40,1
41,0
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,0
59,1
60,1
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,1
69,0
70,0
71,1
72,1
73,0
74,1
75,1
76,1
77,0
78,1
79,1
80,1
81,0
82,0
83,1
84,1
85,0
86,1
87,1
88,1
89,0
90,1
91,1
92,0
93,0
94,1
95,1
96,0
97,1
98,1
99,1
100,0
101,1
102,1
103,0
104,0
105,1
106,1
107,0
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,0
132,1
133,1
134,0
135,1
136,1
137,1
138,0
139,1
140,1
141,1
142,0
143,0
144,1
145,1
146,0
147,1
148,1
149,1
150,0
151,1
152,1
153,1
154,0
155,0
156,1
157,1
158,0
159,1
160,1
161,1
162,0
163,1
164,1
165,1
166,0
167,0
168,1
169,1
170,0
171,1
172,1
173,1
174,0
175,1
176,1
177,1
178,0
179,0
180,1
181,1
182,1
183,1
184,1
185,0
186,1
187,1
188,1
189,0
190,0
191,1
192,1
193,0
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,0
202,0
203,1
204,1
205,0
206,1
207,1
208,1
209,0
210,1
211,1
212,0
213,0
214,1
215,1
216,0
217,1
218,1
219,1
220,0
221,1
222,1
223,0
224,0
225,1
226,1
227,0
228,1
229,1
230,1
231,0
232,1
233,1
234,1
235,0
236,0
237,1
238,1
239,0
240,1
241,1
242,1
243,0
244,1
245,1
246,1
247,0
248,0
249,1
250,1
251,0
252,1
253,1
254,1
255,0
256,1
257,1
258,0
259,0
260,1
261,1
262,0
263,1
264,1
265,1
266,0
267,1
268,1
269,1
270,0
271,0
272,1
273,1
274,0
275,1
276,1
277,1
278,0
279,1
280,1
281,1
282,0
