,normalized_perf
0,1
1,1
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,0
18,1
19,0
20,0
21,0
22,1
23,0
24,0
25,1
26,1
27,0
28,0
29,0
30,1
31,0
32,1
33,1
34,0
35,1
36,0
37,1
38,1
39,0
40,0
41,1
42,1
43,1
44,0
45,1
46,1
47,0
48,1
49,1
50,0
51,0
52,0
53,1
54,1
55,1
56,0
57,0
58,1
59,0
60,1
61,1
62,0
63,0
64,0
65,1
66,1
67,1
68,0
69,1
70,0
71,1
72,1
73,0
74,0
75,1
76,0
77,1
78,1
79,0
80,1
81,0
82,0
83,1
84,1
85,1
86,1
87,0
88,0
89,1
90,0
91,0
92,1
93,0
94,1
95,1
96,1
97,1
98,1
99,0
100,0
101,1
102,1
103,0
104,1
105,0
106,0
107,1
108,1
109,0
110,1
111,0
112,1
113,1
114,1
115,0
116,0
117,1
118,1
119,1
120,0
121,1
122,1
123,0
124,1
125,1
126,0
127,1
128,1
129,0
130,0
131,1
132,1
133,1
134,1
135,0
136,0
137,0
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,0
146,0
147,0
148,1
149,1
150,0
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,0
159,0
160,1
161,0
162,0
163,1
164,1
165,1
166,1
167,0
168,1
169,0
170,1
171,1
172,0
173,0
174,1
175,1
176,1
177,1
178,1
179,1
180,0
181,0
182,1
183,1
184,0
185,0
186,1
187,0
188,1
189,1
190,1
191,1
192,0
193,0
194,0
195,1
196,0
197,0
198,1
199,1
200,1
201,1
202,1
203,1
204,0
205,0
206,1
207,1
208,0
209,0
210,1
211,1
212,1
213,0
214,1
215,1
216,0
217,1
218,1
219,0
220,0
221,0
222,1
223,1
224,1
225,1
226,0
227,1
228,1
229,0
230,1
231,0
232,1
233,1
234,1
235,1
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,0
244,1
245,1
246,0
247,1
248,1
249,0
250,0
251,0
252,1
253,1
254,1
255,1
256,0
257,1
258,1
259,0
260,0
261,1
262,1
263,0
264,1
265,1
266,1
267,0
268,0
269,0
270,1
271,0
272,0
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,0
281,0
282,1
283,1
284,0
285,1
286,1
287,1
