,mcontrol
0,0
1,1
2,1
3,0
4,1
5,1
6,1
7,0
8,1
9,1
10,1
11,0
12,0
13,1
14,1
15,0
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,0
24,1
25,1
26,0
27,1
28,1
29,1
30,0
31,1
32,1
33,1
34,0
35,0
36,1
37,1
38,1
39,1
40,1
41,0
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,0
59,1
60,1
61,0
62,1
63,1
64,1
65,0
66,1
67,1
68,1
69,0
70,0
71,1
72,1
73,0
74,1
75,1
76,1
77,0
78,1
79,1
80,1
81,0
82,0
83,1
84,1
85,0
86,1
87,1
88,1
89,0
90,1
91,1
92,1
93,0
94,0
95,1
96,1
97,0
98,1
99,1
100,1
101,0
102,1
103,1
104,1
105,0
106,0
107,1
108,1
109,0
110,1
111,1
112,1
113,0
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,1
135,1
136,0
137,1
138,1
139,1
140,0
141,1
142,1
143,1
144,0
145,0
146,1
147,1
148,0
149,1
150,1
151,1
152,0
153,1
154,1
155,1
156,0
157,0
158,1
159,1
160,0
161,1
162,1
163,1
164,0
165,1
166,1
167,1
168,0
169,0
170,1
171,1
172,0
173,1
174,1
175,1
176,0
177,1
178,1
179,1
180,0
181,0
182,1
183,1
184,1
185,1
186,1
187,0
188,1
189,1
190,1
191,0
192,0
193,1
194,1
195,0
196,1
197,1
198,1
199,0
200,1
201,1
202,1
203,0
204,0
205,1
206,1
207,0
208,1
209,1
210,1
211,0
212,1
213,1
214,1
215,0
216,0
217,1
218,1
219,0
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,0
228,0
229,1
230,1
231,0
232,1
233,1
234,1
235,0
236,1
237,1
238,1
239,0
240,0
241,1
242,1
243,0
244,1
245,1
246,1
247,0
248,1
249,1
250,1
251,0
252,0
253,1
254,1
255,0
256,1
257,1
258,1
259,0
260,1
261,1
262,1
263,0
264,0
265,1
266,1
267,0
268,1
269,1
270,1
271,0
272,1
273,1
274,1
275,0
276,0
277,1
278,1
279,0
280,1
281,1
282,1
283,0
284,1
285,1
286,1
287,0
