"","Mission","subject","RED_Team","normalized_perf","ToT","MoT"
"1","C3M1S1","Rob","Robotics",0.171489907663236,0.760669573728034,0.932811314192973
"2","C3M1S1","Eng","Engineer",0.478445860683579,0.425640707599049,0.425640707599049
"3","C3M1S1","Geo","Geology",0.675283896588101,0.675283897735644,0.76631850388086
"4","C3M1S1","HF","HumanFactors",0.261634514205542,0,0
"5","C3M1S2","Rob","Robotics",0.976118397578234,0.99403685688803,0.992803515739368
"6","C3M1S2","Eng","Engineer",0.42187562720476,0.594034162316691,0.594034162316691
"7","C3M1S2","Geo","Geology",0,0,0.168011046188317
"8","C3M1S2","HF","HumanFactors",0.406916871273237,0,0
"9","C3M1S3","Rob","Robotics",0.921439979565232,0.797692398398496,0.932358709938017
"10","C3M1S3","Eng","Engineer",0.126771538899817,0.120274246292096,0.120274246292096
"11","C3M1S3","Geo","Geology",0.930801008205452,0.685940303646021,0.774212650580302
"12","C3M1S3","HF","HumanFactors",0.402539459838653,0.630648467809123,0.630648467809123
"13","C3M2S2","Rob","Robotics",0,0.633176715466977,0.451652875813451
"14","C3M2S2","Eng","Engineer",0.607497656384802,0.92871030904371,0.92871030904371
"15","C3M2S2","Geo","Geology",0.470423445610935,0.470423446509764,0.619334889569909
"16","C3M2S2","HF","HumanFactors",0.850648895124518,0.570158466290019,0.570158466290019
"17","C3M2S3","Rob","Robotics",0.882048709682364,0.959042685861363,0.938669837968628
"18","C3M2S3","Eng","Engineer",0.576461038378164,0.880170082267678,0.880170082267678
"19","C3M2S3","Geo","Geology",0.470423445610935,0.470423446509764,0.619334889569909
"20","C3M2S3","HF","HumanFactors",0.637614871974746,0.63835464057539,0.63835464057539
"21","C3M3S2","Rob","Robotics",0.857244833001707,0.952519258485244,0.995592567741679
"22","C3M3S2","Eng","Engineer",0.832414357541217,0.840531492460593,0.840531492460593
"23","C3M3S2","Geo","Geology",0.738812399416194,0.738812381524604,0.811907009169929
"24","C3M3S2","HF","HumanFactors",0.461620484040688,0.42085183347604,0.42085183347604
"25","C3M4S2","Rob","Robotics",0.965089956266805,0.879536292794719,0.968565979752998
"26","C3M4S2","Eng","Engineer",0,0.00000874843372644651,0.00000874843372644651
"27","C3M4S2","Geo","Geology",0.508156988777767,0.508156992213737,0.646309920366685
"28","C3M4S2","HF","HumanFactors",0,0,0
"29","C3M4S3","Rob","Robotics",0.672108519612891,0.875024184199427,0.959830186588275
"30","C3M4S3","Eng","Engineer",0.219155423896318,0.19174770759911,0.19174770759911
"31","C3M4S3","Geo","Geology",0.411776349957048,0.411776354680455,0.577222028571273
"32","C3M4S3","HF","HumanFactors",0.953700455980358,0.885496737147224,0.885496737147224
"33","C4M1S1","Rob","Robotics",0.951385048794889,0.890776128,0.964362481
"34","C4M1S1","Eng","Engineer",0.0217486522170254,0.031691368,0.031691368
"35","C4M1S1","Geo","Geology",0.518067277150458,0.518067261,0.653616035
"36","C4M1S1","HF","HumanFactors",0.694128376008418,0.436241508,0.436241508
"37","C4M1S2","Rob","Robotics",0.62393637750125,0.777036537,0.636670066
"38","C4M1S2","Eng","Engineer",0.658019855847847,0.68447894,0.670794249
"39","C4M1S2","Geo","Geology",0.789577526073907,0.789577512,0.848558171
"40","C4M1S2","HF","HumanFactors",0.488207646439846,0.278925427,0.278925427
"41","C4M1S3","Rob","Robotics",0.641007397318996,0.586982505,0.957718841
"42","C4M1S3","Eng","Engineer",0.654979822740916,0.653303474,0.653303474
"43","C4M1S3","Geo","Geology",0.794851195242662,0.794890418,0.852456106
"44","C4M1S3","HF","HumanFactors",0.453651350403367,0.713394045,0.713394045
