,relation
0,4.0
1,3.3333333333333335
2,3.6666666666666665
3,3.6666666666666665
4,4.666666666666667
5,3.0
6,3.6666666666666665
7,3.6666666666666665
8,4.333333333333333
9,3.0
10,3.0
11,4.0
12,2.5
13,2.6666666666666665
14,3.6666666666666665
15,4.666666666666667
16,3.0
17,3.0
18,1.6666666666666667
19,4.666666666666667
20,3.0
21,3.3333333333333335
22,2.6666666666666665
23,3.0
24,3.6666666666666665
25,4.333333333333333
26,2.6666666666666665
27,4.333333333333333
28,3.6666666666666665
29,4.0
30,3.0
31,4.333333333333333
32,1.0
33,2.25
34,4.0
35,2.6666666666666665
36,3.6666666666666665
37,3.0
38,3.0
39,2.6666666666666665
40,3.0
41,5.0
42,3.0
43,2.5
44,2.0
45,3.0
46,2.5
47,3.0
48,3.0
49,2.0
50,3.3333333333333335
51,2.3333333333333335
52,4.0
53,3.6666666666666665
54,3.3333333333333335
55,3.0
56,4.0
57,3.3333333333333335
58,2.6666666666666665
59,2.6666666666666665
60,1.6666666666666667
61,3.3333333333333335
62,3.0
63,4.0
64,2.0
65,2.6666666666666665
66,4.333333333333333
67,4.0
68,3.0
69,3.3333333333333335
70,3.6666666666666665
71,3.6666666666666665
72,4.0
73,3.3333333333333335
74,3.6666666666666665
75,4.666666666666667
76,4.666666666666667
77,4.0
78,4.333333333333333
79,4.666666666666667
80,3.0
81,4.0
82,3.3333333333333335
83,3.0
84,3.3333333333333335
85,4.666666666666667
86,2.6666666666666665
87,4.0
88,2.6666666666666665
89,3.3333333333333335
90,3.6666666666666665
91,3.3333333333333335
92,3.6666666666666665
93,2.3333333333333335
94,3.3333333333333335
95,2.6666666666666665
96,3.0
97,3.0
98,2.3333333333333335
99,4.0
