,relation
0,3
1,3
2,5
3,3
4,5
5,4
6,5
7,1
8,4
9,5
10,3
11,3
12,2
13,6
14,3
15,3
16,6
17,5
18,3
19,1
20,5
21,4
22,3
23,4
24,2
25,6
26,4
27,3
28,4
29,6
30,4
31,1
32,4
33,3
34,3
35,3
36,6
37,5
38,3
39,3
40,2
41,3
42,3
43,2
44,3
45,5
46,3
47,6
48,4
49,4
50,2
51,3
52,4
53,1
54,5
55,3
56,3
57,1
58,1
59,1
60,3
61,5
62,1
63,4
64,4
65,4
66,2
67,4
68,3
69,4
70,1
71,6
72,4
73,3
74,2
75,6
76,3
77,5
78,2
79,6
80,3
81,3
82,2
83,6
84,6
85,1
86,2
87,5
88,4
89,5
90,2
91,5
92,4
93,2
94,1
95,3
96,4
97,1
98,1
99,3
100,2
101,1
102,3
103,3
104,6
105,3
106,2
107,3
108,2
109,5
110,4
111,3
112,2
113,4
114,4
115,4
116,2
117,3
118,3
119,3
120,5
121,5
122,4
123,2
124,3
125,3
126,3
127,1
128,3
129,3
130,3
131,2
132,1
133,3
134,3
135,1
136,2
137,6
138,2
139,1
140,3
141,5
142,4
143,1
144,1
145,3
146,5
147,2
148,5
149,5
150,6
151,1
152,4
153,4
154,5
155,1
156,3
157,1
158,4
159,3
160,4
161,5
162,3
163,1
164,6
165,3
166,2
167,3
168,4
169,5
170,3
171,1
172,3
173,1
174,4
175,1
176,5
177,3
178,3
179,3
180,3
181,4
182,5
183,2
184,3
185,3
186,1
187,4
188,5
189,5
190,3
191,3
192,3
193,5
194,2
195,3
196,4
197,5
198,1
199,4
200,4
201,5
202,2
203,3
204,6
205,5
206,3
207,5
208,4
209,5
210,1
211,4
212,5
213,3
214,5
215,4
216,5
217,5
218,4
219,5
220,5
221,2
222,5
223,3
224,5
225,4
226,2
227,3
228,3
229,3
230,3
231,4
232,4
233,4
234,3
235,4
236,3
237,4
238,5
239,3
240,5
241,2
242,3
243,5
244,4
245,5
246,3
247,2
248,3
249,2
250,4
251,4
252,2
253,2
254,4
255,5
256,1
257,4
258,4
259,2
260,1
261,3
262,4
263,4
264,4
265,3
266,3
267,1
268,3
269,5
270,3
271,2
272,2
273,6
274,4
275,2
276,4
277,3
278,2
279,1
280,6
281,3
282,2
283,2
