,team
0,Rob
1,Rob
2,Rob
3,Eng
4,Eng
5,Eng
6,Geo
7,Geo
8,Geo
9,HF
10,HF
11,HF
12,Rob
13,Rob
14,Rob
15,Eng
16,Eng
17,Eng
18,Geo
19,Geo
20,Geo
21,HF
22,HF
23,HF
24,Rob
25,Rob
26,Rob
27,Eng
28,Eng
29,Eng
30,Geo
31,Geo
32,Geo
33,HF
34,HF
35,HF
36,Rob
37,Rob
38,Rob
39,Eng
40,Eng
41,Geo
42,Geo
43,Geo
44,HF
45,HF
46,HF
47,Rob
48,Rob
49,Rob
50,Eng
51,Eng
52,Eng
53,Geo
54,Geo
55,Geo
56,HF
57,HF
58,HF
59,Rob
60,Rob
61,Rob
62,Eng
63,Eng
64,Eng
65,Geo
66,Geo
67,Geo
68,HF
69,HF
70,HF
71,Rob
72,Rob
73,Rob
74,Eng
75,Eng
76,Eng
77,Geo
78,Geo
79,Geo
80,HF
81,HF
82,HF
83,Rob
84,Rob
85,Rob
86,Eng
87,Eng
88,Eng
89,Geo
90,Geo
91,Geo
92,HF
93,HF
94,Rob
95,Rob
96,Rob
97,Eng
98,Eng
99,Geo
100,Geo
101,Geo
102,Geo
103,HF
104,HF
105,Rob
106,Rob
107,Rob
108,Eng
109,Eng
110,Eng
111,Geo
112,Geo
113,Geo
114,HF
115,HF
116,Rob
117,Rob
118,Eng
119,Eng
120,Geo
121,Geo
122,HF
123,HF
124,Rob
125,Rob
126,Eng
127,Eng
128,Geo
129,Geo
130,HF
131,HF
132,Rob
133,Rob
134,Rob
135,Eng
136,Eng
137,Eng
138,Geo
139,Geo
140,Geo
141,HF
142,HF
143,HF
144,Rob
145,Rob
146,Rob
147,Eng
148,Eng
149,Eng
150,Geo
151,Geo
152,Geo
153,HF
154,HF
155,HF
156,Rob
157,Rob
158,Rob
159,Eng
160,Eng
161,Eng
162,Geo
163,Geo
164,Geo
165,HF
166,HF
167,HF
168,Rob
169,Rob
170,Rob
171,Eng
172,Eng
173,Eng
174,Geo
175,Geo
176,Geo
177,HF
178,HF
179,HF
180,Rob
181,Rob
182,Rob
183,Eng
184,Eng
185,Geo
186,Geo
187,Geo
188,HF
189,HF
190,HF
191,Rob
192,Rob
193,Rob
194,Eng
195,Eng
196,Eng
197,Geo
198,Geo
199,Geo
200,HF
201,HF
202,HF
203,Rob
204,Rob
205,Rob
206,Eng
207,Eng
208,Eng
209,Geo
210,Geo
211,Geo
212,HF
213,HF
214,Rob
215,Rob
216,Rob
217,Eng
218,Eng
219,Eng
220,Geo
221,Geo
222,Geo
223,HF
224,HF
225,Rob
226,Rob
227,Rob
228,Eng
229,Eng
230,Eng
231,Geo
232,Geo
233,Geo
234,HF
235,HF
236,HF
237,Rob
238,Rob
239,Rob
240,Eng
241,Eng
242,Eng
243,Geo
244,Geo
245,Geo
246,HF
247,HF
248,HF
249,Rob
250,Rob
251,Rob
252,Eng
253,Eng
254,Eng
255,Geo
256,Geo
257,Geo
258,HF
259,HF
260,Rob
261,Rob
262,Rob
263,Eng
264,Eng
265,Eng
266,Geo
267,Geo
268,Geo
269,HF
270,HF
271,HF
272,Rob
273,Rob
274,Rob
275,Eng
276,Eng
277,Eng
278,Geo
279,Geo
280,Geo
281,HF
282,HF
283,HF
