,mcontrol
0,0
1,1
2,1
3,0
4,1
5,1
6,1
7,0
8,1
9,1
10,1
11,0
12,0
13,1
14,1
15,0
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,0
24,0
25,1
26,1
27,0
28,1
29,1
30,1
31,0
32,1
33,1
34,1
35,0
36,0
37,1
38,1
39,1
40,1
41,1
42,0
43,1
44,1
45,1
46,0
47,0
48,1
49,1
50,0
51,1
52,1
53,1
54,0
55,1
56,1
57,1
58,0
59,0
60,1
61,1
62,0
63,1
64,1
65,1
66,0
67,1
68,1
69,1
70,0
71,0
72,1
73,1
74,0
75,1
76,1
77,1
78,0
79,1
80,1
81,1
82,0
83,0
84,1
85,1
86,0
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,0
95,0
96,1
97,1
98,0
99,1
100,1
101,1
102,0
103,1
104,1
105,1
106,0
107,0
108,1
109,1
110,0
111,1
112,1
113,1
114,0
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,0
135,1
136,1
137,0
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,0
146,0
147,1
148,1
149,0
150,1
151,1
152,1
153,0
154,1
155,1
156,1
157,0
158,0
159,1
160,1
161,0
162,1
163,1
164,1
165,0
166,1
167,1
168,1
169,0
170,0
171,1
172,1
173,0
174,1
175,1
176,1
177,0
178,1
179,1
180,1
181,0
182,0
183,1
184,1
185,1
186,1
187,1
188,0
189,1
190,1
191,1
192,0
193,0
194,1
195,1
196,0
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,0
205,0
206,1
207,1
208,0
209,1
210,1
211,1
212,0
213,1
214,1
215,1
216,0
217,0
218,1
219,1
220,0
221,1
222,1
223,1
224,0
225,1
226,1
227,1
228,0
229,0
230,1
231,1
232,0
233,1
234,1
235,1
236,0
237,1
238,1
239,1
240,0
241,0
242,1
243,1
244,0
245,1
246,1
247,1
248,0
249,1
250,1
251,1
252,0
253,0
254,1
255,1
256,0
257,1
258,1
259,1
260,0
261,1
262,1
263,1
264,0
265,0
266,1
267,1
268,0
269,1
270,1
271,1
272,0
273,1
274,1
275,1
276,0
277,0
278,1
279,1
280,0
281,1
282,1
283,1
284,0
285,1
286,1
287,1
288,0
