,team
0,Rob
1,Rob
2,Rob
3,Eng
4,Eng
5,Eng
6,Geo
7,Geo
8,Geo
9,HF
10,HF
11,HF
12,Rob
13,Rob
14,Rob
15,Eng
16,Eng
17,Eng
18,Geo
19,Geo
20,Geo
21,HF
22,HF
23,HF
24,Rob
25,Rob
26,Rob
27,Eng
28,Eng
29,Eng
30,Geo
31,Geo
32,Geo
33,HF
34,HF
35,HF
36,Rob
37,Rob
38,Rob
39,Eng
40,Eng
41,Geo
42,Geo
43,Geo
44,HF
45,HF
46,HF
47,Rob
48,Rob
49,Rob
50,Eng
51,Eng
52,Eng
53,Geo
54,Geo
55,Geo
56,HF
57,HF
58,HF
59,Rob
60,Rob
61,Rob
62,Eng
63,Eng
64,Eng
65,Geo
66,Geo
67,Geo
68,HF
69,HF
70,HF
71,Rob
72,Rob
73,Rob
74,Eng
75,Eng
76,Eng
77,Geo
78,Geo
79,Geo
80,HF
81,HF
82,HF
83,Rob
84,Rob
85,Rob
86,Eng
87,Eng
88,Eng
89,Geo
90,Geo
91,Geo
92,HF
93,HF
94,HF
95,Rob
96,Rob
97,Rob
98,Eng
99,Eng
100,Geo
101,Geo
102,Geo
103,Geo
104,HF
105,HF
106,HF
107,Rob
108,Rob
109,Rob
110,Eng
111,Eng
112,Eng
113,Geo
114,Geo
115,Geo
116,HF
117,HF
118,Rob
119,Rob
120,Eng
121,Eng
122,Geo
123,Geo
124,HF
125,HF
126,Rob
127,Rob
128,Eng
129,Eng
130,Geo
131,Geo
132,HF
133,HF
134,Rob
135,Rob
136,Rob
137,Eng
138,Eng
139,Eng
140,Geo
141,Geo
142,Geo
143,HF
144,HF
145,HF
146,Rob
147,Rob
148,Rob
149,Eng
150,Eng
151,Eng
152,Geo
153,Geo
154,Geo
155,HF
156,HF
157,HF
158,Rob
159,Rob
160,Rob
161,Eng
162,Eng
163,Eng
164,Geo
165,Geo
166,Geo
167,HF
168,HF
169,HF
170,Rob
171,Rob
172,Rob
173,Eng
174,Eng
175,Eng
176,Geo
177,Geo
178,Geo
179,HF
180,HF
181,HF
182,Rob
183,Rob
184,Rob
185,Eng
186,Eng
187,Geo
188,Geo
189,Geo
190,HF
191,HF
192,HF
193,Rob
194,Rob
195,Rob
196,Eng
197,Eng
198,Eng
199,Geo
200,Geo
201,Geo
202,HF
203,HF
204,HF
205,Rob
206,Rob
207,Rob
208,Eng
209,Eng
210,Eng
211,Geo
212,Geo
213,Geo
214,HF
215,HF
216,HF
217,Rob
218,Rob
219,Rob
220,Eng
221,Eng
222,Eng
223,Geo
224,Geo
225,Geo
226,HF
227,HF
228,HF
229,Rob
230,Rob
231,Rob
232,Eng
233,Eng
234,Eng
235,Geo
236,Geo
237,Geo
238,HF
239,HF
240,HF
241,Rob
242,Rob
243,Rob
244,Eng
245,Eng
246,Eng
247,Geo
248,Geo
249,Geo
250,HF
251,HF
252,HF
253,Rob
254,Rob
255,Rob
256,Eng
257,Eng
258,Eng
259,Geo
260,Geo
261,Geo
262,HF
263,HF
264,HF
265,Rob
266,Rob
267,Rob
268,Eng
269,Eng
270,Eng
271,Geo
272,Geo
273,Geo
274,HF
275,HF
276,HF
277,Rob
278,Rob
279,Rob
280,Eng
281,Eng
282,Eng
283,Geo
284,Geo
285,Geo
286,HF
287,HF
288,HF
