,relation
0,3
1,3
2,5
3,3
4,5
5,4
6,5
7,1
8,4
9,5
10,3
11,3
12,2
13,6
14,3
15,3
16,6
17,5
18,3
19,1
20,5
21,4
22,3
23,2
24,6
25,4
26,3
27,4
28,6
29,4
30,1
31,4
32,3
33,3
34,3
35,6
36,5
37,3
38,3
39,2
40,3
41,3
42,2
43,5
44,3
45,6
46,4
47,4
48,2
49,3
50,4
51,1
52,5
53,3
54,3
55,1
56,1
57,1
58,3
59,5
60,1
61,4
62,4
63,4
64,2
65,4
66,3
67,4
68,1
69,6
70,4
71,3
72,2
73,6
74,3
75,5
76,2
77,6
78,3
79,3
80,2
81,6
82,6
83,1
84,2
85,5
86,4
87,5
88,2
89,5
90,4
91,2
92,1
93,3
94,4
95,1
96,1
97,3
98,2
99,1
100,3
101,3
102,6
103,3
104,2
105,3
106,2
107,5
108,4
109,3
110,2
111,4
112,4
113,4
114,2
115,3
116,3
117,3
118,5
119,5
120,4
121,2
122,3
123,3
124,3
125,1
126,3
127,3
128,3
129,2
130,1
131,3
132,3
133,1
134,2
135,6
136,2
137,1
138,3
139,5
140,4
141,1
142,1
143,3
144,5
145,2
146,5
147,5
148,6
149,1
150,4
151,4
152,5
153,1
154,3
155,1
156,4
157,3
158,4
159,5
160,3
161,1
162,6
163,3
164,2
165,3
166,4
167,5
168,3
169,1
170,3
171,1
172,4
173,1
174,5
175,3
176,3
177,3
178,3
179,4
180,5
181,2
182,3
183,3
184,1
185,4
186,5
187,5
188,3
189,3
190,3
191,5
192,2
193,3
194,4
195,5
196,1
197,4
198,4
199,5
200,2
201,3
202,6
203,5
204,3
205,5
206,4
207,5
208,1
209,4
210,5
211,3
212,5
213,4
214,5
215,5
216,4
217,5
218,5
219,2
220,5
221,3
222,5
223,4
224,2
225,3
226,3
227,3
228,3
229,4
230,4
231,4
232,3
233,4
234,3
235,4
236,5
237,3
238,5
239,2
240,3
241,5
242,4
243,5
244,3
245,2
246,3
247,2
248,4
249,4
250,2
251,2
252,4
253,5
254,1
255,4
256,4
257,2
258,1
259,3
260,4
261,4
262,4
263,3
264,3
265,1
266,3
267,5
268,3
269,2
270,2
271,6
272,4
273,2
274,4
275,3
276,2
277,1
278,6
279,3
280,2
281,2
