,relation
0,3
1,3
2,5
3,3
4,5
5,4
6,5
7,1
8,4
9,5
10,3
11,3
12,2
13,6
14,3
15,3
16,6
17,5
18,3
19,1
20,5
21,4
22,3
23,2
24,6
25,4
26,3
27,4
28,6
29,4
30,1
31,4
32,3
33,3
34,3
35,6
36,5
37,3
38,3
39,2
40,3
41,3
42,2
43,3
44,5
45,3
46,6
47,4
48,4
49,2
50,3
51,4
52,1
53,5
54,3
55,3
56,1
57,1
58,1
59,3
60,5
61,1
62,4
63,4
64,4
65,2
66,4
67,3
68,4
69,1
70,6
71,4
72,3
73,2
74,6
75,3
76,5
77,2
78,6
79,3
80,3
81,2
82,6
83,6
84,1
85,2
86,5
87,4
88,5
89,2
90,5
91,3
92,4
93,2
94,1
95,3
96,4
97,1
98,1
99,3
100,2
101,1
102,3
103,3
104,3
105,6
106,3
107,2
108,3
109,2
110,5
111,4
112,3
113,2
114,4
115,4
116,4
117,2
118,3
119,3
120,3
121,5
122,5
123,4
124,2
125,3
126,3
127,3
128,1
129,3
130,3
131,3
132,2
133,1
134,3
135,3
136,1
137,2
138,6
139,2
140,1
141,3
142,5
143,4
144,1
145,1
146,3
147,5
148,2
149,5
150,5
151,6
152,1
153,4
154,4
155,5
156,1
157,3
158,1
159,4
160,3
161,4
162,5
163,3
164,1
165,6
166,3
167,2
168,3
169,4
170,5
171,3
172,1
173,3
174,1
175,4
176,1
177,5
178,3
179,3
180,3
181,3
182,4
183,5
184,2
185,3
186,3
187,1
188,4
189,5
190,5
191,3
192,3
193,3
194,5
195,2
196,3
197,4
198,5
199,1
200,4
201,4
202,5
203,2
204,3
205,6
206,5
207,3
208,5
209,4
210,5
211,1
212,4
213,3
214,5
215,3
216,5
217,4
218,5
219,5
220,4
221,5
222,5
223,2
224,5
225,5
226,3
227,5
228,4
229,2
230,3
231,3
232,3
233,3
234,4
235,4
236,4
237,3
238,4
239,3
240,4
241,5
242,3
243,5
244,2
245,3
246,5
247,4
248,5
249,3
250,2
251,3
252,2
253,4
254,4
255,2
256,2
257,4
258,5
259,1
260,4
261,5
262,4
263,2
264,1
265,3
266,4
267,4
268,4
269,3
270,3
271,1
272,3
273,5
274,3
275,2
276,2
277,6
278,4
279,2
280,4
281,3
282,2
283,1
284,6
285,3
286,2
287,2
